archivo,algoritmo,nivel,tamano_bytes,tiempo_segundos
index.html,identity,0,283,0.207274
estilos.css,identity,0,303893,0.203641
estilos.min.css,identity,0,258893,0.202530
app.js,identity,0,558894,0.206828
datos.json,identity,0,868896,0.205475
grafico.svg,identity,0,222,0.202930
lorem.txt,identity,0,8500000,0.228326
imagen.png,identity,0,1483,0.202586
paquete.zip,identity,0,25869,0.205156
index.html,gzip,1,206,0.203755
estilos.css,gzip,1,13459,0.207445
estilos.min.css,gzip,1,13797,0.205335
app.js,gzip,1,26604,0.204277
datos.json,gzip,1,29520,0.207944
grafico.svg,gzip,1,173,0.207851
lorem.txt,gzip,1,61920,0.227224
imagen.png,gzip,1,1483,0.210705
paquete.zip,gzip,1,25869,0.207558
index.html,gzip,6,204,0.204407
estilos.css,gzip,6,12999,0.205817
estilos.min.css,gzip,6,13445,0.207662
app.js,gzip,6,25725,0.208988
datos.json,gzip,6,28249,0.206943
grafico.svg,gzip,6,172,0.205439
lorem.txt,gzip,6,28950,0.233195
imagen.png,gzip,6,1483,0.202214
paquete.zip,gzip,6,25869,0.204358
index.html,gzip,9,204,0.202846
estilos.css,gzip,9,12770,0.205257
estilos.min.css,gzip,9,13185,0.206137
app.js,gzip,9,25294,0.211020
datos.json,gzip,9,27704,0.211402
grafico.svg,gzip,9,172,0.204881
lorem.txt,gzip,9,28950,0.233842
imagen.png,gzip,9,1483,0.210609
paquete.zip,gzip,9,25869,0.203519
index.html,brotli,5,154,0.205373
estilos.css,brotli,5,4789,0.205673
estilos.min.css,brotli,5,5686,0.206393
app.js,brotli,5,8704,0.205963
datos.json,brotli,5,13802,0.208026
grafico.svg,brotli,5,144,0.202544
lorem.txt,brotli,5,185,0.212292
imagen.png,brotli,5,1483,0.203727
paquete.zip,brotli,5,25869,0.203609
index.html,brotli,11,156,0.207589
estilos.css,brotli,11,5704,0.560083
estilos.min.css,brotli,11,5694,0.465298
app.js,brotli,11,8868,0.872240
datos.json,brotli,11,10966,1.434141
grafico.svg,brotli,11,146,0.210230
lorem.txt,brotli,11,95,0.328224
imagen.png,brotli,11,1483,0.203017
paquete.zip,brotli,11,25869,0.202275
